type,clone,bfp_pos2,bfp_pos3
LLP,1,97.154235,95.075725
LLP,2,98.977667,98.954665
LLP,3,98.828993,96.612554
LLP,4,99.065091,98.782863
LLP,5,98.139839,98.460591
LLP,6,99.454232,99.138899
LLP,7,99.198893,98.561151
LLP,8,82.919255,83.422843
LLP,9,99.483529,99.324324
LLP,10,98.894349,99.083374
LLP,11,91.232205,92.283951
LLP,12,98.131848,98.084828
LLP-Int,1,59.599129,60.981329
LLP-Int,2,30.086645,31.678707
LLP-Int,3,1.929162,2.157698
LLP-Int,4,0.379075,0
LLP-Int,5,26.252334,27.921323
LLP-Int,6,28.908046,21.307598
LLP-Int,7,0.03905,0.028251
LLP-Int,8,80.266641,81.936341
LLP-Int,9,70.384813,70.020833
LLP-Int,10,93.970541,94.140197
LLP-Int,11,91.887153,88.80597
LLP-Int,12,92.169982,90.364422
LLP-Int2B,1,78.327464,78.327464
LLP-Int2B,2,85.871226,85.871226
LLP-Int2B,4,84.350161,84.350161
LLP-Int2B,5,88.08228,88.08228
