id,sample_num,line,replicate,condition,bneg,gpos,rpos
Set1_control_c2_004.fcs,1,LLP,0,0,28.503176,0,0
Set1_control_c4_002.fcs,2,LLP-BxInt,0,0,42.505192,0,0
Set1_control_c6_003.fcs,3,LLP-BxInt-Blast,0,0,2.228532,0,0
Set1A_1-1_005.fcs,4,LLP,1,2,2.143822,0,0.000824
Set1A_1-2_006.fcs,5,LLP-BxInt,1,2,53.551452,6.067016,1.94003
Set1A_1-3_007.fcs,6,LLP-BxInt-Blast,1,2,40.169046,12.226495,4.607479
Set1A_1-4_008.fcs,7,LLP,1,3,6.73135,1.920365,4.49711
Set1A_1-5_009.fcs,8,LLP-BxInt,1,3,56.260283,4.96303,3.852991
Set1A_1-6_010.fcs,9,LLP-BxInt-Blast,1,3,39.128464,8.637341,8.545612
Set1A_2-1_011.fcs,10,LLP,2,2,3.023059,0,0
Set1A_2-2_012.fcs,11,LLP-BxInt,2,2,51.957013,6.559067,2.369433
Set1A_2-3_013.fcs,12,LLP-BxInt-Blast,2,2,42.547586,13.247379,4.625155
Set1A_2-4_014.fcs,13,LLP,2,3,3.472658,2.102668,1.749122
Set1A_2-5_015.fcs,14,LLP-BxInt,2,3,52.270959,5.893067,1.872734
Set1A_2-6_016.fcs,15,LLP-BxInt-Blast,2,3,40.323789,14.403174,3.4291
Set1A_3-1_017.fcs,16,LLP,3,2,3.154731,0,0
Set1A_3-2_018.fcs,17,LLP-BxInt,3,2,52.86033,6.209546,1.547911
Set1A_3-3_019.fcs,18,LLP-BxInt-Blast,3,2,40.811756,11.781875,2.97509
Set1A_3-4_020.fcs,19,LLP,3,3,5.613177,2.400471,2.121171
Set1A_3-5_021.fcs,20,LLP-BxInt,3,3,55.076565,5.208573,1.821037
Set1A_3-6_022.fcs,21,LLP-BxInt-Blast,3,3,42.299818,15.294466,4.634088
Set1A_4-1_023.fcs,4,LLP,4,2,1.998907,0.004968,0.002484
Set1A_4-2_024.fcs,5,LLP-BxInt,4,2,52.077985,8.765338,1.62997
Set1A_4-3_025.fcs,6,LLP-BxInt-Blast,4,2,43.286194,21.904516,5.418159
Set1A_4-4_026.fcs,7,LLP,4,3,2.738966,2.713151,1.186197
Set1A_4-5_027.fcs,8,LLP-BxInt,4,3,57.827251,11.721587,3.228826
Set1A_4-6_028.fcs,9,LLP-BxInt-Blast,4,3,43.26616,18.154829,6.605311
Set1B_5-1_029.fcs,10,LLP,5,2,1.918565,0.006901,0.000767
Set1B_5-2_030.fcs,11,LLP-BxInt,5,2,52.175867,9.307469,1.621177
Set1B_5-3_031.fcs,12,LLP-BxInt-Blast,5,2,48.248393,24.438869,6.129739
Set1B_5-4_032.fcs,13,LLP,5,3,2.915649,3.856071,1.404819
Set1B_5-5_033.fcs,14,LLP-BxInt,5,3,55.541802,10.16563,2.22647
Set1B_5-6_034.fcs,15,LLP-BxInt-Blast,5,3,42.544409,18.868147,5.45221
Set1B_6-1_035.fcs,16,LLP,6,2,2.198935,0.012169,0.000716
Set1B_6-2_036.fcs,17,LLP-BxInt,6,2,61.229412,16.879764,2.409886
Set1B_6-3_037.fcs,18,LLP-BxInt-Blast,6,2,47.733388,26.988197,5.136676
Set1B_6-4_038.fcs,19,LLP,6,3,3.857703,6.457548,1.843353
Set1B_6-5_039.fcs,20,LLP-BxInt,6,3,56.864341,12.325489,2.133205
Set1B_6-6_040.fcs,21,LLP-BxInt-Blast,6,3,44.287139,23.147891,5.471702
