type,clone,date,experiment,b_mode,g_mode,r_mode
LLP,1,20171128,2-plasmid,52924.03125,NA,NA
LLP,2,20171128,2-plasmid,72238.67969,NA,NA
LLP,3,20171128,2-plasmid,50623.30469,NA,NA
LLP,4,20171128,2-plasmid,63221.17188,NA,NA
LLP,5,20171128,2-plasmid,63221.17188,NA,NA
LLP,6,20171128,2-plasmid,63221.17188,NA,NA
LLP,7,20171128,2-plasmid,57843.92578,NA,NA
LLP,8,20171128,2-plasmid,69098.3125,NA,NA
LLP,9,20171128,2-plasmid,69098.3125,NA,NA
LLP,10,20171128,2-plasmid,60472.8125,NA,NA
LLP,11,20171128,2-plasmid,42378.03516,NA,NA
LLP,12,20171128,2-plasmid,75521.78125,NA,NA
LLP-Int,1,20171128,2-plasmid,4392.558594,48422.59375,35475.71484
LLP-Int,2,20171128,2-plasmid,16664.41602,27171.69141,8944.503906
LLP-Int,3,20171128,2-plasmid,NA,NA,NA
LLP-Int,4,20171128,2-plasmid,NA,NA,NA
LLP-Int,5,20171128,2-plasmid,27171.69141,140703.8784,14584.20703
LLP-Int,6,20171128,2-plasmid,9775.99707,35475.71484,8183.731934
LLP-Int,7,20171128,2-plasmid,NA,NA,NA
LLP-Int,8,20171128,2-plasmid,9775.99707,NA,NA
LLP-Int,9,20171128,2-plasmid,6850.806641,52924.03125,57843.92578
LLP-Int,10,20171128,2-plasmid,9775.99707,52924.03125,7162.162109
LLP-Int,11,20171128,2-plasmid,8183.731934,57843.92578,40535.76953
LLP-Int,12,20171128,2-plasmid,5995.625,69098.3125,63221.17188
LLP,1,20171128,3-plasmid,44304.03125,NA,NA
LLP,2,20171128,3-plasmid,98602.23438,NA,NA
LLP,3,20171128,3-plasmid,57843.92578,NA,NA
LLP,4,20171128,3-plasmid,75521.78125,82542.39844,NA
LLP,5,20171128,3-plasmid,55329.31641,NA,NA
LLP,6,20171128,3-plasmid,63221.17188,112666.285,NA
LLP,7,20171128,3-plasmid,60472.8125,82542.39844,NA
LLP,8,20171128,3-plasmid,75521.78125,NA,NA
LLP,9,20171128,3-plasmid,57843.92578,50623.30469,NA
LLP,10,20171128,3-plasmid,57843.92578,NA,NA
LLP,11,20171128,3-plasmid,38773.58594,NA,NA
LLP,12,20171128,3-plasmid,78954.09375,NA,NA
LLP-Int,1,20171128,3-plasmid,3364.364746,75521.78125,35475.71484
LLP-Int,2,20171128,3-plasmid,8555.666016,72238.67969,37088.01172
LLP-Int,3,20171128,3-plasmid,NA,NA,NA
LLP-Int,4,20171128,3-plasmid,NA,NA,NA
LLP-Int,5,20171128,3-plasmid,32458.3418,NA,NA
LLP-Int,6,20171128,3-plasmid,9775.99707,75521.78125,7827.966797
LLP-Int,7,20171128,3-plasmid,NA,NA,NA
LLP-Int,8,20171128,3-plasmid,12208.80469,NA,NA
LLP-Int,9,20171128,3-plasmid,6552.987305,42378.03516,63221.17188
LLP-Int,10,20171128,3-plasmid,9775.99707,86293.78125,82542.39844
LLP-Int,11,20171128,3-plasmid,7487.667969,69098.3125,66094.44531
LLP-Int,12,20171128,3-plasmid,6552.987305,75521.78125,40535.76953
LLP-Int2B,1,20180604,NA,1973.667847,NA,NA
LLP-Int2B,2,20180604,3-plasmid,6552.987305,69098.3125,50623.30469
LLP-Int2B,4,20180604,3-plasmid,3078.209961,52924.03125,42378.03516
LLP-Int2B,5,20180604,NA,2464.825439,NA,NA
