conc,clone4_hygro,clone4_puro,clone4_blast,clone6_hygro,clone6_puro,clone6_blast
0.01,0.095426,0.378915,0.124095,0.345482,1.116992,0.535834
0.03162,,,,,,
0.1,,,,,,
0.316,,36.890646,,,85.96713,
1,,95.1015,,,97.173367,
3.16,,94.835681,0.374867,,98.922801,0.437857
10,,95.765472,28.662624,,99.126638,0.477573
31.6,8.503401,91.795807,59.594531,20.607787,98.723404,0.341486
100,43.815029,,83.620045,57.273281,,0.445453
316,52.696078,,88.419118,73.572038,,0.980541
1000,48.780488,,,84.254606,,
3162,27.272727,,,87.5,,
