conc,clone4_hygro,clone4_puro,clone4_blast,clone6_hygro,clone6_puro,clone6_blast
0.01,2.870222,2.785676,3.435082,2.250804,2.701011,2.850215
0.03162,,2.8185,,,2.300503,
0.1,,5.311335,,,3.365769,
0.316,,59.305019,4.705882,,31.115276,3.145617
1,,95.680346,4.467658,,55.026455,3.711326
3.16,3.181899,89.377289,12.064965,3.0589,42.857143,4.407472
10,5.849401,63.157895,47.371805,4.833867,7.619048,2.754498
31.6,20.734341,13.513514,77.772534,19.844861,5,3.020596
100,58.855003,,88.034404,37.242472,,2.985927
316,70.563231,,90.02253,17.887931,,4.827025
1000,47.072072,,,16.923077,,
3162,17.213115,,,2.654867,,
